filename,width,height,class,xmin,ymin,xmax,ymax
imagen_nueva108.png,200,60,3,132,7,162,48
imagen_nueva108.png,200,60,m,164,15,200,48
imagen_nueva109.png,200,60,7,11,8,42,48
imagen_nueva109.png,200,60,y,39,15,70,57
imagen_nueva109.png,200,60,a,69,15,97,47
imagen_nueva109.png,200,60,d,97,6,130,49
imagen_nueva109.png,200,60,f,127,7,152,47
imagen_nueva11.png,200,60,7,10,7,41,48
imagen_nueva11.png,200,60,r,45,16,68,48
imagen_nueva11.png,200,60,k,69,5,100,47
imagen_nueva11.png,200,60,3,100,6,131,47
imagen_nueva11.png,200,60,d,133,5,166,49
imagen_nueva110.png,200,60,f,11,13,38,48
imagen_nueva110.png,200,60,p,36,22,68,57
imagen_nueva110.png,200,60,e,68,21,95,47
imagen_nueva110.png,200,60,c,97,21,124,49
imagen_nueva110.png,200,60,w,124,22,155,47
imagen_nueva111.png,200,60,3,10,8,42,48
imagen_nueva111.png,200,60,7,44,8,75,48
imagen_nueva111.png,200,60,6,76,7,109,47
imagen_nueva111.png,200,60,r,111,16,135,48
imagen_nueva111.png,200,60,g,134,16,166,58
imagen_nueva112.png,200,60,g,9,21,39,56
imagen_nueva112.png,200,60,y,39,22,68,56
imagen_nueva112.png,200,60,g,67,22,97,57
imagen_nueva112.png,200,60,y,96,22,125,56
imagen_nueva112.png,200,60,d,126,13,156,49
imagen_nueva113.png,200,60,d,8,13,41,47
imagen_nueva113.png,200,60,f,41,13,68,48
imagen_nueva113.png,200,60,4,69,13,93,47
imagen_nueva113.png,200,60,a,95,20,125,47
imagen_nueva113.png,200,60,3,127,12,153,46
imagen_nueva114.png,200,60,k,11,6,42,50
imagen_nueva114.png,200,60,c,42,16,70,48
imagen_nueva114.png,200,60,d,69,6,102,47
imagen_nueva114.png,200,60,r,103,15,128,47
imagen_nueva114.png,200,60,5,130,7,161,48
imagen_nueva115.png,200,60,h,9,7,39,48
imagen_nueva115.png,200,60,g,39,16,70,57
imagen_nueva115.png,200,60,4,69,9,99,49
imagen_nueva115.png,200,60,k,100,6,130,47
imagen_nueva115.png,200,60,3,128,6,158,48
imagen_nueva116.png,200,60,3,11,12,37,49
imagen_nueva116.png,200,60,2,38,13,65,48
imagen_nueva116.png,200,60,e,67,21,95,46
imagen_nueva116.png,200,60,k,95,13,125,48
imagen_nueva116.png,200,60,k,125,13,156,48
imagen_nueva117.png,200,60,x,8,15,42,48
imagen_nueva117.png,200,60,b,43,5,76,49
imagen_nueva117.png,200,60,5,76,8,108,48
imagen_nueva117.png,200,60,y,106,15,140,58
imagen_nueva117.png,200,60,b,141,6,173,48
imagen_nueva118.png,200,60,n,9,16,43,48
imagen_nueva118.png,200,60,g,43,14,78,57
imagen_nueva118.png,200,60,y,77,16,110,58
imagen_nueva118.png,200,60,6,109,6,143,47
imagen_nueva118.png,200,60,r,144,16,170,49
imagen_nueva119.png,200,60,d,8,5,43,49
imagen_nueva119.png,200,60,g,43,16,77,57
imagen_nueva119.png,200,60,f,77,6,101,49
imagen_nueva119.png,200,60,d,100,7,132,48
imagen_nueva119.png,200,60,p,134,16,166,56
imagen_nueva12.png,200,60,k,9,6,42,48
imagen_nueva12.png,200,60,r,43,15,67,48
imagen_nueva12.png,200,60,5,67,7,97,48
imagen_nueva12.png,200,60,6,100,8,131,49
imagen_nueva12.png,200,60,5,133,8,164,48
imagen_nueva120.png,200,60,d,10,3,40,49
imagen_nueva120.png,200,60,k,40,7,70,48
imagen_nueva120.png,200,60,2,67,7,96,49
imagen_nueva120.png,200,60,g,99,17,127,57
imagen_nueva120.png,200,60,2,128,7,158,49
imagen_nueva121.png,200,60,w,7,21,40,47
imagen_nueva121.png,200,60,g,39,22,69,57
imagen_nueva121.png,200,60,a,68,20,96,49
imagen_nueva121.png,200,60,p,93,21,126,55
imagen_nueva121.png,200,60,7,127,12,153,47
imagen_nueva122.png,200,60,x,7,21,39,48
imagen_nueva122.png,200,60,w,37,20,69,47
imagen_nueva122.png,200,60,f,69,14,97,48
imagen_nueva122.png,200,60,4,97,14,124,48
imagen_nueva122.png,200,60,4,125,14,153,48
imagen_nueva123.png,200,60,b,5,12,39,49
imagen_nueva123.png,200,60,a,40,21,70,48
imagen_nueva123.png,200,60,6,71,12,96,48
imagen_nueva123.png,200,60,p,93,22,126,56
imagen_nueva123.png,200,60,x,125,21,156,49
imagen_nueva124.png,200,60,y,7,15,39,56
imagen_nueva124.png,200,60,x,35,16,67,48
imagen_nueva124.png,200,60,a,65,16,93,48
imagen_nueva124.png,200,60,5,93,7,124,47
imagen_nueva124.png,200,60,w,127,16,167,49
imagen_nueva126.png,200,60,y,7,20,39,58
imagen_nueva126.png,200,60,5,39,12,66,47
imagen_nueva126.png,200,60,p,64,21,96,57
imagen_nueva126.png,200,60,k,95,13,127,49
imagen_nueva126.png,200,60,5,127,12,154,47
imagen_nueva127.png,200,60,d,9,5,42,49
imagen_nueva127.png,200,60,7,43,7,72,47
imagen_nueva127.png,200,60,x,69,16,100,48
imagen_nueva127.png,200,60,e,100,17,128,48
imagen_nueva127.png,200,60,y,127,15,158,56
imagen_nueva128.png,200,60,5,9,7,39,48
imagen_nueva128.png,200,60,c,40,17,68,49
imagen_nueva128.png,200,60,2,66,8,96,48
imagen_nueva128.png,200,60,w,98,15,138,48
imagen_nueva128.png,200,60,p,135,15,168,56
imagen_nueva129.png,200,60,f,10,6,33,47
imagen_nueva129.png,200,60,2,26,6,55,47
imagen_nueva129.png,200,60,m,57,15,102,47
imagen_nueva129.png,200,60,r,105,17,128,47
imagen_nueva129.png,200,60,x,123,16,155,48
imagen_nueva13.png,200,60,7,9,11,36,49
imagen_nueva13.png,200,60,h,37,12,66,48
imagen_nueva13.png,200,60,2,67,13,93,48
imagen_nueva13.png,200,60,d,96,13,126,48
imagen_nueva13.png,200,60,r,126,22,155,48
imagen_nueva130.png,200,60,k,10,6,44,48
imagen_nueva130.png,200,60,f,42,7,65,48
imagen_nueva130.png,200,60,m,64,16,112,48
imagen_nueva130.png,200,60,n,116,14,146,48
imagen_nueva130.png,200,60,4,148,7,182,48
imagen_nueva131.png,200,60,5,9,7,41,46
imagen_nueva131.png,200,60,5,44,8,75,48
imagen_nueva131.png,200,60,4,75,8,109,47
imagen_nueva131.png,200,60,7,110,7,140,48
imagen_nueva131.png,200,60,3,144,8,175,48
imagen_nueva132.png,200,60,g,8,22,40,57
imagen_nueva132.png,200,60,y,38,22,67,57
imagen_nueva132.png,200,60,w,66,21,97,48
imagen_nueva132.png,200,60,e,97,22,125,48
imagen_nueva132.png,200,60,2,126,11,151,49
imagen_nueva133.png,200,60,8,10,13,37,48
imagen_nueva133.png,200,60,h,37,11,68,48
imagen_nueva133.png,200,60,w,64,22,97,48
imagen_nueva133.png,200,60,2,97,12,123,48
imagen_nueva133.png,200,60,e,125,21,154,48
imagen_nueva134.png,200,60,g,9,21,40,58
imagen_nueva134.png,200,60,2,39,12,66,48
imagen_nueva134.png,200,60,e,67,21,96,48
imagen_nueva134.png,200,60,8,98,12,124,48
imagen_nueva134.png,200,60,6,129,13,154,48
imagen_nueva135.png,200,60,x,8,21,39,47
imagen_nueva135.png,200,60,p,37,21,68,57
imagen_nueva135.png,200,60,g,67,20,97,57
imagen_nueva135.png,200,60,m,95,21,128,48
imagen_nueva135.png,200,60,d,126,13,158,49
imagen_nueva137.png,200,60,n,8,20,39,47
imagen_nueva137.png,200,60,g,39,21,69,57
imagen_nueva137.png,200,60,d,68,14,98,47
imagen_nueva137.png,200,60,3,98,12,124,48
imagen_nueva137.png,200,60,p,122,20,155,56
imagen_nueva138.png,200,60,a,10,21,37,47
imagen_nueva138.png,200,60,p,36,20,68,57
imagen_nueva138.png,200,60,6,68,12,95,48
imagen_nueva138.png,200,60,w,95,21,127,49
imagen_nueva138.png,200,60,6,130,13,154,47
imagen_nueva139.png,200,60,6,11,6,39,47
imagen_nueva139.png,200,60,p,39,16,70,57
imagen_nueva139.png,200,60,p,70,16,101,56
imagen_nueva139.png,200,60,7,103,8,133,47
imagen_nueva139.png,200,60,y,130,16,161,56
imagen_nueva14.png,200,60,3,10,8,41,48
imagen_nueva14.png,200,60,g,42,15,76,58
imagen_nueva14.png,200,60,m,78,16,125,48
imagen_nueva14.png,200,60,e,128,15,161,49
imagen_nueva14.png,200,60,w,161,15,200,48
imagen_nueva140.png,200,60,p,5,20,39,58
imagen_nueva140.png,200,60,7,39,10,66,48
imagen_nueva140.png,200,60,f,69,13,96,47
imagen_nueva140.png,200,60,2,97,12,124,48
imagen_nueva140.png,200,60,d,124,12,156,47
imagen_nueva141.png,200,60,x,8,20,40,48
imagen_nueva141.png,200,60,e,38,21,68,48
imagen_nueva141.png,200,60,e,67,22,97,48
imagen_nueva141.png,200,60,w,96,21,126,49
imagen_nueva141.png,200,60,e,126,20,154,47
imagen_nueva142.png,200,60,f,9,7,34,48
imagen_nueva142.png,200,60,n,27,16,55,47
imagen_nueva142.png,200,60,5,56,8,87,48
imagen_nueva142.png,200,60,g,87,16,118,56
imagen_nueva142.png,200,60,a,118,15,146,46
imagen_nueva143.png,200,60,y,7,16,39,56
imagen_nueva143.png,200,60,x,36,14,67,48
imagen_nueva143.png,200,60,5,65,7,95,48
imagen_nueva143.png,200,60,5,95,8,127,47
imagen_nueva143.png,200,60,8,128,8,158,47
imagen_nueva144.png,200,60,6,12,12,38,50
imagen_nueva144.png,200,60,k,38,11,66,48
imagen_nueva144.png,200,60,6,70,12,96,48
imagen_nueva144.png,200,60,m,94,21,127,46
imagen_nueva144.png,200,60,k,125,13,155,47
imagen_nueva145.png,200,60,r,10,22,38,48
imagen_nueva145.png,200,60,n,39,21,68,47
imagen_nueva145.png,200,60,h,65,12,95,47
imagen_nueva145.png,200,60,4,98,14,124,48
imagen_nueva145.png,200,60,n,125,21,155,48
imagen_nueva146.png,200,60,d,8,14,41,47
imagen_nueva146.png,200,60,f,42,14,68,48
imagen_nueva146.png,200,60,c,68,21,95,48
imagen_nueva146.png,200,60,4,98,13,122,48
imagen_nueva146.png,200,60,2,125,11,152,48
imagen_nueva147.png,200,60,b,11,6,45,49
imagen_nueva147.png,200,60,a,44,17,75,48
imagen_nueva147.png,200,60,p,77,16,109,56
imagen_nueva147.png,200,60,h,112,7,144,49
imagen_nueva147.png,200,60,x,144,15,178,48
imagen_nueva148.png,200,60,m,9,15,54,47
imagen_nueva148.png,200,60,h,59,6,85,47
imagen_nueva148.png,200,60,g,85,16,115,56
imagen_nueva148.png,200,60,8,118,6,146,48
imagen_nueva148.png,200,60,a,148,16,175,47
imagen_nueva149.png,200,60,x,7,16,42,47
imagen_nueva149.png,200,60,7,41,8,72,48
imagen_nueva149.png,200,60,c,73,17,102,48
imagen_nueva149.png,200,60,5,104,8,134,47
imagen_nueva149.png,200,60,2,136,8,167,48
imagen_nueva15.png,200,60,m,10,13,57,49
imagen_nueva15.png,200,60,y,59,15,91,56
imagen_nueva15.png,200,60,w,91,15,134,48
imagen_nueva15.png,200,60,g,136,17,168,58
imagen_nueva15.png,200,60,f,168,6,193,47
imagen_nueva150.png,200,60,6,8,6,38,47
imagen_nueva150.png,200,60,y,38,15,70,57
imagen_nueva150.png,200,60,6,71,8,100,47
imagen_nueva150.png,200,60,w,101,16,141,47
imagen_nueva150.png,200,60,4,138,8,169,47
imagen_nueva151.png,200,60,5,11,14,38,48
imagen_nueva151.png,200,60,6,41,13,65,47
imagen_nueva151.png,200,60,7,69,12,95,47
imagen_nueva151.png,200,60,w,94,22,126,46
imagen_nueva151.png,200,60,x,126,21,156,46
imagen_nueva152.png,200,60,x,8,15,39,48
imagen_nueva152.png,200,60,m,38,15,82,48
imagen_nueva152.png,200,60,x,83,14,114,48
imagen_nueva152.png,200,60,4,110,7,143,47
imagen_nueva152.png,200,60,m,144,16,188,49
imagen_nueva154.png,200,60,r,9,15,35,49
imagen_nueva154.png,200,60,7,35,8,66,47
imagen_nueva154.png,200,60,p,68,15,101,57
imagen_nueva154.png,200,60,a,101,16,133,48
imagen_nueva154.png,200,60,e,134,18,167,48
imagen_nueva155.png,200,60,p,9,16,39,56
imagen_nueva155.png,200,60,h,40,7,68,47
imagen_nueva155.png,200,60,b,71,7,100,48
imagen_nueva155.png,200,60,6,103,8,130,48
imagen_nueva155.png,200,60,x,129,16,160,49
imagen_nueva156.png,200,60,d,8,14,41,47
imagen_nueva156.png,200,60,h,40,13,67,47
imagen_nueva156.png,200,60,n,66,21,95,47
imagen_nueva156.png,200,60,k,96,12,126,48
imagen_nueva156.png,200,60,d,124,13,155,49
imagen_nueva157.png,200,60,a,10,15,42,47
imagen_nueva157.png,200,60,f,42,7,67,48
imagen_nueva157.png,200,60,y,63,14,96,57
imagen_nueva157.png,200,60,n,96,14,128,49
imagen_nueva157.png,200,60,7,129,8,161,48
imagen_nueva158.png,200,60,h,9,6,39,48
imagen_nueva158.png,200,60,3,39,8,70,48
imagen_nueva158.png,200,60,y,68,16,100,55
imagen_nueva158.png,200,60,w,101,16,139,47
imagen_nueva158.png,200,60,3,137,8,168,49
imagen_nueva159.png,200,60,2,9,13,38,49
imagen_nueva159.png,200,60,x,38,21,67,47
imagen_nueva159.png,200,60,w,66,21,98,48
imagen_nueva159.png,200,60,x,96,21,126,47
imagen_nueva159.png,200,60,3,127,11,153,47
imagen_nueva16.png,200,60,4,8,7,42,49
imagen_nueva16.png,200,60,2,44,8,76,48
imagen_nueva16.png,200,60,e,77,17,109,46
imagen_nueva16.png,200,60,h,111,7,142,48
imagen_nueva16.png,200,60,8,144,7,177,47
imagen_nueva160.png,200,60,g,9,16,43,58
imagen_nueva160.png,200,60,x,43,15,76,48
imagen_nueva160.png,200,60,b,76,6,109,49
imagen_nueva160.png,200,60,h,111,7,141,48
imagen_nueva160.png,200,60,y,144,15,176,58
imagen_nueva162.png,200,60,k,11,6,43,47
imagen_nueva162.png,200,60,f,42,7,65,48
imagen_nueva162.png,200,60,k,66,6,97,48
imagen_nueva162.png,200,60,n,98,16,127,48
imagen_nueva162.png,200,60,m,130,15,178,47
imagen_nueva163.png,200,60,k,11,5,43,47
imagen_nueva163.png,200,60,2,41,8,72,46
imagen_nueva163.png,200,60,f,74,7,98,48
imagen_nueva163.png,200,60,8,96,7,127,46
imagen_nueva163.png,200,60,2,129,7,162,46
imagen_nueva164.png,200,60,r,9,22,39,48
imagen_nueva164.png,200,60,f,41,14,67,48
imagen_nueva164.png,200,60,a,68,21,96,47
imagen_nueva164.png,200,60,4,97,13,123,47
imagen_nueva164.png,200,60,x,124,21,154,48
imagen_nueva165.png,200,60,d,8,13,40,48
imagen_nueva165.png,200,60,e,38,22,68,48
imagen_nueva165.png,200,60,3,68,13,95,46
imagen_nueva165.png,200,60,5,98,12,124,47
imagen_nueva165.png,200,60,2,126,12,152,48
imagen_nueva166.png,200,60,7,9,12,36,47
imagen_nueva166.png,200,60,p,36,20,68,57
imagen_nueva166.png,200,60,p,64,21,95,55
imagen_nueva166.png,200,60,f,98,14,126,47
imagen_nueva166.png,200,60,w,124,23,156,48
imagen_nueva167.png,200,60,n,11,15,43,47
imagen_nueva167.png,200,60,h,46,6,78,48
imagen_nueva167.png,200,60,c,80,16,107,48
imagen_nueva167.png,200,60,m,109,17,156,49
imagen_nueva167.png,200,60,g,159,16,192,58
imagen_nueva168.png,200,60,f,7,7,32,49
imagen_nueva168.png,200,60,4,31,9,64,49
imagen_nueva168.png,200,60,h,66,5,98,48
imagen_nueva168.png,200,60,3,100,7,131,48
imagen_nueva168.png,200,60,n,134,15,167,48
imagen_nueva169.png,200,60,k,10,6,41,48
imagen_nueva169.png,200,60,d,42,6,74,48
imagen_nueva169.png,200,60,w,74,15,120,47
imagen_nueva169.png,200,60,b,121,6,154,48
imagen_nueva169.png,200,60,2,154,7,186,48
imagen_nueva17.png,200,60,n,7,21,38,48
imagen_nueva17.png,200,60,d,39,13,68,48
imagen_nueva17.png,200,60,r,69,22,96,48
imagen_nueva17.png,200,60,2,96,12,124,47
imagen_nueva17.png,200,60,4,126,12,152,47
imagen_nueva170.png,200,60,d,8,5,41,48
imagen_nueva170.png,200,60,h,44,7,76,48
imagen_nueva170.png,200,60,r,80,16,104,48
imagen_nueva170.png,200,60,e,103,17,135,48
imagen_nueva170.png,200,60,g,135,16,168,57
imagen_nueva171.png,200,60,6,8,8,42,48
imagen_nueva171.png,200,60,y,41,16,74,58
imagen_nueva171.png,200,60,b,75,6,108,49
imagen_nueva171.png,200,60,5,108,8,140,48
imagen_nueva171.png,200,60,g,140,15,174,57
imagen_nueva172.png,200,60,b,10,5,44,48
imagen_nueva172.png,200,60,3,45,8,75,48
imagen_nueva172.png,200,60,7,78,7,108,48
imagen_nueva172.png,200,60,f,109,6,134,49
imagen_nueva172.png,200,60,2,133,7,164,49
imagen_nueva173.png,200,60,y,8,15,39,55
imagen_nueva173.png,200,60,x,36,16,67,48
imagen_nueva173.png,200,60,x,63,15,95,48
imagen_nueva173.png,200,60,y,91,16,122,57
imagen_nueva173.png,200,60,a,121,16,149,47
imagen_nueva174.png,200,60,4,9,9,43,48
imagen_nueva174.png,200,60,e,42,16,76,49
imagen_nueva174.png,200,60,p,77,16,110,57
imagen_nueva174.png,200,60,n,111,16,144,49
imagen_nueva174.png,200,60,4,145,7,180,47
imagen_nueva175.png,200,60,k,10,6,44,48
imagen_nueva175.png,200,60,r,44,16,68,48
imagen_nueva175.png,200,60,b,67,5,100,49
imagen_nueva175.png,200,60,p,101,15,134,56
imagen_nueva175.png,200,60,n,135,16,167,47
imagen_nueva176.png,200,60,e,8,15,43,48
imagen_nueva176.png,200,60,g,42,15,76,58
imagen_nueva176.png,200,60,y,74,15,109,58
imagen_nueva176.png,200,60,4,108,8,142,47
imagen_nueva176.png,200,60,b,143,5,176,48
imagen_nueva177.png,200,60,n,10,15,43,47
imagen_nueva177.png,200,60,e,44,17,77,48
imagen_nueva177.png,200,60,w,77,16,122,48
imagen_nueva177.png,200,60,n,123,16,154,48
imagen_nueva177.png,200,60,c,156,16,184,48
imagen_nueva178.png,200,60,b,10,6,44,48
imagen_nueva178.png,200,60,g,43,16,76,58
imagen_nueva178.png,200,60,3,79,7,109,47
imagen_nueva178.png,200,60,f,111,6,135,48
imagen_nueva178.png,200,60,7,135,8,164,48
imagen_nueva179.png,200,60,e,9,17,39,49
imagen_nueva179.png,200,60,4,40,8,69,48
imagen_nueva179.png,200,60,3,69,8,100,48
imagen_nueva179.png,200,60,e,102,17,131,48
imagen_nueva179.png,200,60,r,131,15,156,45
imagen_nueva18.png,200,60,e,8,22,39,49
imagen_nueva18.png,200,60,c,39,22,68,48
imagen_nueva18.png,200,60,7,68,13,95,47
imagen_nueva18.png,200,60,4,98,14,124,48
imagen_nueva18.png,200,60,d,125,14,157,49
imagen_nueva180.png,200,60,p,10,16,45,57
imagen_nueva180.png,200,60,3,45,9,75,48
imagen_nueva180.png,200,60,e,79,17,110,47
imagen_nueva180.png,200,60,e,111,17,143,47
imagen_nueva180.png,200,60,4,144,8,177,47
imagen_nueva181.png,200,60,b,9,6,40,48
imagen_nueva181.png,200,60,y,37,17,69,56
imagen_nueva181.png,200,60,b,68,6,98,48
imagen_nueva181.png,200,60,h,99,6,128,48
imagen_nueva181.png,200,60,7,129,7,160,47
imagen_nueva182.png,200,60,k,8,7,40,47
imagen_nueva182.png,200,60,y,36,16,68,55
imagen_nueva182.png,200,60,2,65,8,94,48
imagen_nueva182.png,200,60,k,98,5,129,49
imagen_nueva182.png,200,60,7,127,8,157,47
imagen_nueva183.png,200,60,n,8,21,39,48
imagen_nueva183.png,200,60,g,38,21,67,56
imagen_nueva183.png,200,60,8,68,13,95,48
imagen_nueva183.png,200,60,5,98,12,125,48
imagen_nueva183.png,200,60,a,126,20,156,49
imagen_nueva184.png,200,60,d,8,14,41,49
imagen_nueva184.png,200,60,8,40,13,65,49
imagen_nueva184.png,200,60,c,68,21,97,48
imagen_nueva184.png,200,60,6,101,13,125,48
imagen_nueva184.png,200,60,w,123,21,155,47
imagen_nueva185.png,200,60,f,11,13,38,48
imagen_nueva185.png,200,60,n,38,21,67,47
imagen_nueva185.png,200,60,a,69,22,97,47
imagen_nueva185.png,200,60,k,96,13,126,48
imagen_nueva185.png,200,60,8,127,12,153,47
imagen_nueva187.png,200,60,p,6,20,39,57
imagen_nueva187.png,200,60,e,38,20,68,48
imagen_nueva187.png,200,60,f,69,14,96,47
imagen_nueva187.png,200,60,e,96,21,125,47
imagen_nueva187.png,200,60,w,124,21,156,48
imagen_nueva188.png,200,60,3,11,14,38,48
imagen_nueva188.png,200,60,e,39,21,68,48
imagen_nueva188.png,200,60,4,70,14,96,49
imagen_nueva188.png,200,60,c,98,21,126,49
imagen_nueva188.png,200,60,8,127,11,153,47
imagen_nueva189.png,200,60,k,8,12,38,47
imagen_nueva189.png,200,60,k,38,12,68,48
imagen_nueva189.png,200,60,g,67,21,97,57
imagen_nueva189.png,200,60,w,96,21,125,48
imagen_nueva189.png,200,60,h,124,12,156,48
imagen_nueva19.png,200,60,c,8,16,38,47
imagen_nueva19.png,200,60,m,39,16,87,47
imagen_nueva19.png,200,60,5,89,7,121,47
imagen_nueva19.png,200,60,5,89,7,121,47
imagen_nueva19.png,200,60,m,122,16,169,48
imagen_nueva19.png,200,60,f,170,5,196,49
imagen_nueva190.png,200,60,k,9,7,39,47
imagen_nueva190.png,200,60,x,35,13,67,48
imagen_nueva190.png,200,60,b,67,5,96,48
imagen_nueva190.png,200,60,y,93,15,126,57
imagen_nueva190.png,200,60,e,125,14,153,47
imagen_nueva191.png,200,60,a,8,21,39,49
imagen_nueva191.png,200,60,a,38,21,68,49
imagen_nueva191.png,200,60,m,64,22,100,49
imagen_nueva191.png,200,60,2,98,11,124,49
imagen_nueva191.png,200,60,h,124,12,156,49
imagen_nueva192.png,200,60,e,9,17,43,49
imagen_nueva192.png,200,60,e,42,17,75,49
imagen_nueva192.png,200,60,w,74,16,120,47
imagen_nueva192.png,200,60,y,120,16,151,57
imagen_nueva192.png,200,60,m,151,14,199,46
imagen_nueva193.png,200,60,6,10,7,43,49
imagen_nueva193.png,200,60,h,43,7,75,48
imagen_nueva193.png,200,60,m,77,16,127,49
imagen_nueva193.png,200,60,6,129,7,161,49
imagen_nueva193.png,200,60,5,164,7,194,49
imagen_nueva194.png,200,60,x,7,20,39,48
imagen_nueva194.png,200,60,2,38,13,65,49
imagen_nueva194.png,200,60,8,68,12,94,48
imagen_nueva194.png,200,60,6,97,12,124,49
imagen_nueva194.png,200,60,e,126,21,155,47
imagen_nueva195.png,200,60,n,10,14,43,48
imagen_nueva195.png,200,60,7,45,7,77,48
imagen_nueva195.png,200,60,d,79,4,112,48
imagen_nueva195.png,200,60,p,113,15,147,57
imagen_nueva195.png,200,60,f,145,4,169,48
imagen_nueva196.png,200,60,n,9,15,43,49
imagen_nueva196.png,200,60,x,44,16,77,48
imagen_nueva196.png,200,60,8,76,5,107,47
imagen_nueva196.png,200,60,c,109,16,138,47
imagen_nueva196.png,200,60,c,136,16,165,48
imagen_nueva197.png,200,60,n,10,15,44,49
imagen_nueva197.png,200,60,h,46,6,78,48
imagen_nueva197.png,200,60,y,77,16,112,58
imagen_nueva197.png,200,60,d,110,7,146,49
imagen_nueva197.png,200,60,6,144,7,178,47
imagen_nueva198.png,200,60,e,7,21,39,47
imagen_nueva198.png,200,60,r,38,20,68,47
imagen_nueva198.png,200,60,b,64,12,98,49
imagen_nueva198.png,200,60,5,99,11,125,49
imagen_nueva198.png,200,60,b,124,11,154,47
imagen_nueva199.png,200,60,a,9,21,38,48
imagen_nueva199.png,200,60,n,37,20,68,48
imagen_nueva199.png,200,60,8,68,14,95,47
imagen_nueva199.png,200,60,f,98,12,125,48
imagen_nueva199.png,200,60,6,128,13,155,48
imagen_nueva2.png,200,60,k,9,13,38,49
imagen_nueva2.png,200,60,x,39,21,67,48
imagen_nueva2.png,200,60,h,66,11,96,47
imagen_nueva2.png,200,60,6,99,12,124,48
imagen_nueva2.png,200,60,5,127,12,152,46
imagen_nueva20.png,200,60,2,8,8,39,48
imagen_nueva20.png,200,60,4,39,8,70,48
imagen_nueva20.png,200,60,x,69,15,100,47
imagen_nueva20.png,200,60,g,99,16,129,57
imagen_nueva20.png,200,60,3,128,6,159,47
imagen_nueva200.png,200,60,f,7,7,33,47
imagen_nueva200.png,200,60,a,31,16,63,49
imagen_nueva200.png,200,60,b,65,4,98,49
imagen_nueva200.png,200,60,g,98,14,131,58
imagen_nueva200.png,200,60,f,131,8,156,47
imagen_nueva201.png,200,60,m,5,21,40,47
imagen_nueva201.png,200,60,g,38,22,65,58
imagen_nueva201.png,200,60,m,65,20,97,47
imagen_nueva201.png,200,60,k,96,13,126,47
imagen_nueva201.png,200,60,y,123,23,156,56
imagen_nueva202.png,200,60,x,7,14,42,49
imagen_nueva202.png,200,60,a,42,14,72,48
imagen_nueva202.png,200,60,m,74,15,123,49
imagen_nueva202.png,200,60,k,125,4,158,49
imagen_nueva202.png,200,60,x,156,14,190,49
imagen_nueva203.png,200,60,3,11,7,42,49
imagen_nueva203.png,200,60,7,44,8,75,49
imagen_nueva203.png,200,60,x,76,15,109,47
imagen_nueva203.png,200,60,b,109,7,141,49
imagen_nueva203.png,200,60,g,142,16,174,57
imagen_nueva204.png,200,60,5,11,13,37,50
imagen_nueva204.png,200,60,r,39,20,68,48
